# circuit bytes: 8200
# comm_lo: 0x80b474c1c427c2091a16c5636e7c2c3c
# comm_hi: 0xe24689d297fa89133effd76ac51a1eb6
# n_tc:    4
apples-prove: orchestrating Cairo 1 → simple-bootloader → Stwo Circle STARK
  fixture:     /home/abdel_starkware_co/grover-tax/fixtures/v0.2.json
  executable:  /home/abdel_starkware_co/grover-tax/stwo-side/cairo/target/dev/grover_tax_executable.executable.json
  bootloader:  /home/abdel_starkware_co/grover-tax/third_party/proving-utils/crates/cairo-program-runner-lib/resources/compiled_programs/bootloaders/simple_bootloader_compiled.json
2026-05-19T15:44:22.493833Z  INFO run:stwo_run_and_prove:adapt: stwo_cairo_adapter::adapter: Builtin segments: BuiltinSegments { add_mod_builtin: None, bitwise_builtin: Some(MemorySegmentAddresses { begin_addr: 4724868, stop_ptr: 4806788 }), output: Some(MemorySegmentAddresses { begin_addr: 4151424, stop_ptr: 4151428 }), mul_mod_builtin: None, pedersen_builtin: Some(MemorySegmentAddresses { begin_addr: 4151428, stop_ptr: 4200580 }), poseidon_builtin: None, range_check96_builtin: None, range_check_builtin: Some(MemorySegmentAddresses { begin_addr: 4200580, stop_ptr: 4724868 }), ec_op_builtin: None }
2026-05-19T15:44:22.493844Z  INFO run:stwo_run_and_prove:adapt:relocate_public_addresses: stwo_cairo_adapter::relocator: enter
2026-05-19T15:44:22.493857Z  INFO run:stwo_run_and_prove:adapt:relocate_public_addresses: stwo_cairo_adapter::relocator: close time.busy=12.5µs time.idle=282ns
2026-05-19T15:44:22.493861Z  INFO run:stwo_run_and_prove:adapt:MemoryBuilder::from_iter: stwo_cairo_adapter::memory: enter
2026-05-19T15:44:22.867532Z  INFO run:stwo_run_and_prove:adapt:MemoryBuilder::from_iter: stwo_cairo_adapter::memory: close time.busy=374ms time.idle=1.92µs
2026-05-19T15:44:22.867566Z  INFO run:stwo_run_and_prove:adapt:StateTransitions::from_slice_parallel: stwo_cairo_adapter::opcodes: enter
2026-05-19T15:44:23.147959Z  INFO run:stwo_run_and_prove:adapt:StateTransitions::from_slice_parallel: stwo_cairo_adapter::opcodes: close time.busy=280ms time.idle=3.07µs
2026-05-19T15:44:23.147995Z  INFO run:stwo_run_and_prove:adapt: stwo_cairo_adapter::adapter: Opcode counts: [("generic_opcode", 0), ("add_ap_opcode", 52892), ("add_opcode", 449160), ("add_opcode_small", 1065472), ("assert_eq_opcode", 1166623), ("assert_eq_opcode_double_deref", 581523), ("assert_eq_opcode_imm", 216582), ("call_opcode_abs", 1), ("call_opcode_rel_imm", 246015), ("jnz_opcode_non_taken", 123875), ("jnz_opcode_taken", 783491), ("jump_opcode_rel_imm", 95238), ("jump_opcode_rel", 0), ("jump_opcode_double_deref", 0), ("jump_opcode_abs", 0), ("mul_opcode_small", 236396), ("mul_opcode", 33), ("ret_opcode", 246016), ("blake_compress_opcode", 129), ("qm_31_add_mul_opcode", 0)]
2026-05-19T15:44:23.162270Z  INFO run:stwo_run_and_prove:adapt: stwo_cairo_adapter::adapter: close time.busy=1.02s time.idle=2.27µs
2026-05-19T15:44:23.175344Z  INFO run:stwo_run_and_prove:prove: stwo_run_and_prove: enter
2026-05-19T15:45:03.566782Z  INFO run:stwo_run_and_prove:prove:Extension: stwo::prover::pcs: enter
2026-05-19T15:45:18.543198Z  INFO run:stwo_run_and_prove:prove:Extension: stwo::prover::pcs: close time.busy=15.0s time.idle=6.69µs
2026-05-19T15:45:18.543246Z  INFO run:stwo_run_and_prove:prove:Merkle: stwo::prover::pcs: enter
2026-05-19T15:45:53.296489Z  INFO run:stwo_run_and_prove:prove:Merkle: stwo::prover::pcs: close time.busy=34.8s time.idle=2.43µs
2026-05-19T15:45:53.296668Z  INFO run:stwo_run_and_prove:prove:prove_cairo: stwo_cairo_prover::prover: enter
2026-05-19T15:45:54.537832Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace: stwo_cairo_prover::prover: enter
2026-05-19T15:45:59.524420Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:00.008435Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=484ms time.idle=3.93µs
2026-05-19T15:46:00.008480Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:00.820024Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=812ms time.idle=2.58µs
2026-05-19T15:46:00.820066Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:00.828238Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=8.17ms time.idle=1.56µs
2026-05-19T15:46:00.828259Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.078519Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=250ms time.idle=2.17µs
2026-05-19T15:46:01.078552Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.098469Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=19.9ms time.idle=1.80µs
2026-05-19T15:46:01.098496Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.287053Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=189ms time.idle=1.85µs
2026-05-19T15:46:01.287104Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.287346Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=242µs time.idle=1.07µs
2026-05-19T15:46:01.287357Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.287411Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=53.0µs time.idle=476ns
2026-05-19T15:46:01.287418Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.340427Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=53.0ms time.idle=1.20µs
2026-05-19T15:46:01.340461Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.349903Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=9.44ms time.idle=1.20µs
2026-05-19T15:46:01.349925Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.823827Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=474ms time.idle=1.45µs
2026-05-19T15:46:01.823859Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.837489Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=13.6ms time.idle=1.22µs
2026-05-19T15:46:01.837531Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.837596Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=64.8µs time.idle=454ns
2026-05-19T15:46:01.837604Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.919209Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=81.6ms time.idle=1.15µs
2026-05-19T15:46:01.919233Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.954970Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=35.7ms time.idle=1.31µs
2026-05-19T15:46:01.955880Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.956302Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=422µs time.idle=1.10µs
2026-05-19T15:46:01.970151Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:01.975160Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=5.01ms time.idle=1.37µs
2026-05-19T15:46:02.011360Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.023393Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=12.0ms time.idle=1.58µs
2026-05-19T15:46:02.023425Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.023434Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=8.40µs time.idle=440ns
2026-05-19T15:46:02.024795Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.025047Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=252µs time.idle=939ns
2026-05-19T15:46:02.033867Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:02.192620Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=159ms time.idle=1.79µs
